id data sabor tamanho preco pgto atendente avaliacao
908 2025-06-26 Baunilha PEQUENO 2.032467404395975 Dinheiro Maria 2.0
838 2025-04-17 Limao PEQUENO 2.1068021294230674 PIX Carlos 2.0
496 2024-05-10 Flocos PEQUENO 2.1616267322941445 PIX Carlos 1.0
608 2024-08-30 Baunilha PEQUENO 2.1885486991129417 Dinheiro Maria 4.0
699 2024-11-29 Baunilha PEQUENO 2.2297110619822016 Cartão Carlos 2.0
276 2023-10-03 Napolitano PEQUENO 2.2987633133593355 Cartão Maria 2.0
492 2024-05-06 Napolitano PEQUENO 2.3059899028879585 PIX Carlos 4.0
541 2024-06-24 Amendoim PEQUENO 2.4329368501947566 PIX João 2.0
226 2023-08-14 Napolitano PEQUENO 2.451964986524774 Cartão João 5.0
748 2025-01-17 Chocolate PEQUENO 2.544636379753338 Dinheiro Carlos 5.0
400 2024-02-04 Napolitano PEQUENO 2.75605415101158 Cartão João 4.0
764 2025-02-02 Baunilha PEQUENO 2.767253438779004 Dinheiro Carlos 2.0
721 2024-12-21 Limao PEQUENO 2.8734633354154595 Dinheiro João 1.0
319 2023-11-15 Limao PEQUENO 2.8799256738427497 Cartão Carlos 3.0
772 2025-02-10 Baunilha PEQUENO 2.964622538806617 Cartão Maria 3.0
543 2024-06-26 Napolitano PEQUENO 3.066377190698294 Dinheiro Carlos 2.0
250 2023-09-07 Limao PEQUENO 3.1177162458611805 PIX Maria 2.0
12 2023-01-12 Limao PEQUENO 3.120343554705417 Cartão Maria 3.0
585 2024-08-07 Morango PEQUENO 3.156274369932293 Cartão Maria 4.0
291 2023-10-18 Banana PEQUENO 3.2449095305663658 Cartão João 1.0
374 2024-01-09 Pistache PEQUENO 3.450957997133276 Cartão Maria 1.0
563 2024-07-16 Morango PEQUENO 3.4741766476439815 PIX João 1.0
162 2023-06-11 Limao PEQUENO 3.4798930320174377 Dinheiro Carlos 1.0
938 2025-07-26 Morango PEQUENO 3.483336473090369 Cartão Maria 2.0
443 2024-03-18 Limao PEQUENO 3.513661944540616 PIX Carlos 2.0
160 2023-06-09 Chocolate PEQUENO 3.5191786809335697 PIX Maria 1.0
317 2023-11-13 Uva PEQUENO 3.5317433172865447 PIX Carlos 3.0
654 2024-10-15 Limao PEQUENO 3.5327590563430284 PIX Maria 2.0
361 2023-12-27 Coco PEQUENO 3.696954907691742 Cartão Maria 3.0
507 2024-05-21 Morango PEQUENO 3.8012079489216286 PIX João 1.0
1012 2025-10-08 Flocos PEQUENO 3.84117184278281 PIX Carlos 1.0
262 2023-09-19 Limao PEQUENO 3.8682425410652446 Cartão João 5.0
454 2024-03-29 Uva PEQUENO 3.8846182173484123 Dinheiro Maria 5.0
907 2025-06-25 Limao PEQUENO 4.079589029060426 PIX Carlos 2.0
899 2025-06-17 Maracuja PEQUENO 4.101707686099423 Dinheiro Carlos 5.0
652 2024-10-13 Limao PEQUENO 4.13409072596409 PIX Maria 3.0
910 2025-06-28 Baunilha PEQUENO 4.144412741323663 Cartão Carlos 1.0
324 2023-11-20 Limao PEQUENO 4.208330530474781 Dinheiro Maria 5.0
405 2024-02-09 Chocolate PEQUENO 4.256199199133823 Dinheiro João 3.0
447 2024-03-22 Baunilha PEQUENO 4.457705660435924 Cartão Maria 4.0
918 2025-07-06 Limao PEQUENO 4.515069798263796 PIX João 10.0
119 2023-04-29 Creme PEQUENO 4.522046845846836 Cartão Maria 1.0
855 2025-05-04 Amendoim PEQUENO 4.5285685627502525 Dinheiro Maria 4.0
933 2025-07-21 Baunilha PEQUENO 4.592153432467382 Cartão Maria 5.0
799 2025-03-09 Uva PEQUENO 4.658270326394472 PIX Carlos 4.0
982 2025-09-08 Uva PEQUENO 4.677786294479562 Dinheiro Carlos 5.0
703 2024-12-03 Pistache PEQUENO 4.729238037857151 Cartão Carlos 5.0
342 2023-12-08 Limao PEQUENO 4.73938177975632 Cartão Carlos 2.0
449 2024-03-24 Pistache PEQUENO 4.7448096369432164 PIX João 1.0
147 2023-05-27 Morango PEQUENO 4.7640600270810864 PIX Carlos 5.0
112 2023-04-22 Coco PEQUENO 4.767473447182656 PIX Carlos 3.0
7 2023-01-07 Napolitano PEQUENO 4.770742262631489 Dinheiro João 5.0
281 2023-10-08 Morango PEQUENO 4.792959732731947 PIX Carlos 4.0
935 2025-07-23 Amendoim PEQUENO 4.80140403661812 Dinheiro Carlos 2.0
28 2023-01-28 Limao PEQUENO 4.851248014769046 PIX Maria 3.0
240 2023-08-28 Uva PEQUENO 4.875268324494716 Cartão João 2.0
593 2024-08-15 Coco PEQUENO 4.901609837488314 Cartão Maria 3.0
869 2025-05-18 Amendoim PEQUENO 5.066420950082657 Cartão Carlos 5.0
705 2024-12-05 Uva PEQUENO 5.15294794964419 Cartão Maria 3.0
102 2023-04-12 Napolitano PEQUENO 5.183261791886899 PIX Maria 1.0
64 2023-03-05 Amendoim PEQUENO 5.268081437550077 Dinheiro Carlos 4.0
212 2023-07-31 Uva PEQUENO 5.302827951532109 Dinheiro Carlos 2.0
216 2023-08-04 Amendoim PEQUENO 5.3350568182191385 Dinheiro Carlos 4.0
60 2023-03-01 Uva PEQUENO 5.34792301274833 Dinheiro Maria 1.0
139 2023-05-19 Limao PEQUENO 5.431100019814684 Dinheiro João 1.0
346 2023-12-12 Flocos PEQUENO 5.682749100583031 Cartão Carlos 1.0
712 2024-12-12 Flocos PEQUENO 5.716138901374088 Dinheiro Maria 1.0
87 2023-03-28 Creme PEQUENO 5.789981956123076 PIX Carlos 4.0
695 2024-11-25 Creme PEQUENO 5.800257337311045 Dinheiro Carlos 5.0
110 2023-04-20 Morango PEQUENO 5.995973184270413 PIX Carlos 4.0
224 2023-08-12 Limao PEQUENO 6.036581020107422 PIX Maria 1.0
564 2024-07-17 Pistache PEQUENO 6.048137379090061 Dinheiro Carlos 0.0
590 2024-08-12 Coco PEQUENO 6.110648026938571 Cartão Carlos 1.0
173 2023-06-22 Creme PEQUENO 6.257349642307162 Cartão Carlos 2.0
874 2025-05-23 Limao PEQUENO 6.342213502195181 Dinheiro João 1.0
754 2025-01-23 Amendoim PEQUENO 6.51358885510643 Cartão Maria 4.0
406 2024-02-10 Amendoim PEQUENO 6.618112850147368 PIX Carlos 3.0
884 2025-06-02 Flocos PEQUENO 6.711341023760145 Dinheiro Carlos 1.0
785 2025-02-23 Flocos PEQUENO 6.723485956620861 Cartão João 5.0
135 2023-05-15 Limao PEQUENO 6.735737720395674 Cartão Maria 3.0
17 2023-01-17 Amendoim PEQUENO 6.795564380809411 Dinheiro Carlos 1.0
340 2023-12-06 Limao PEQUENO 6.87526445630947 Dinheiro Carlos 5.0
458 2024-04-02 Coco PEQUENO 6.957116728669289 Cartão Maria 5.0
837 2025-04-16 Uva PEQUENO 7.009237401340862 Cartão Maria 1.0
382 2024-01-17 Coco PEQUENO 7.150099566993296 Dinheiro Carlos 2.0
161 2023-06-10 Chocolate PEQUENO 7.200351584417101 PIX Maria 1.0
787 2025-02-25 Limao PEQUENO 7.202707855381792 Cartão Carlos 3.0
330 2023-11-26 Limao PEQUENO 7.231788851018794 PIX Carlos 2.0
222 2023-08-10 Napolitano PEQUENO 7.247426857968384 Cartão Carlos 2.0
366 2024-01-01 Limao PEQUENO 7.393066403887285 PIX João 3.0
895 2025-06-13 Flocos PEQUENO 7.433444926153183 PIX Carlos 5.0
157 2023-06-06 Baunilha PEQUENO 7.514025067340151 Cartão João 2.0
122 2023-05-02 Napolitano PEQUENO 7.521861021886672 Dinheiro Carlos 4.0
655 2024-10-16 Morango PEQUENO 7.522013577621427 Dinheiro João 3.0
770 2025-02-08 Chocolate PEQUENO 7.5693533653539715 PIX Maria 3.0
965 2025-08-22 Morango PEQUENO 7.624209235300748 PIX Maria 2.0
728 2024-12-28 Limao PEQUENO 7.804585885611553 PIX João 2.0
486 2024-04-30 Pistache PEQUENO 7.887384092859205 Dinheiro João 2.0
46 2023-02-15 Creme PEQUENO 7.946732494528593 Cartão João 2.0
218 2023-08-06 Flocos PEQUENO 7.978588441689408 Cartão Carlos 5.0
300 2023-10-27 Napolitano PEQUENO 7.988741774261986 Dinheiro Maria 5.0
193 2023-07-12 Limao PEQUENO 8.027523341749825 Dinheiro Carlos 3.0
106 2023-04-16 Chocolate PEQUENO 8.069364537689442 Cartão João 3.0
917 2025-07-05 Morango PEQUENO 8.157413962107405 PIX João 5.0
862 2025-05-11 Pistache PEQUENO 8.160363628907385 Cartão Maria 4.0
812 2025-03-22 Chocolate PEQUENO 8.161752225106133 Dinheiro Maria 1.0
308 2023-11-04 Morango PEQUENO 8.188857204647146 Cartão João 3.0
84 2023-03-25 Amendoim PEQUENO 8.25038167330592 PIX Maria 1.0
800 2025-03-10 Napolitano PEQUENO 8.26079039506427 PIX Maria 4.0
963 2025-08-20 Napolitano PEQUENO 8.493343301892178 PIX Maria 3.0
565 2024-07-18 Pistache PEQUENO 8.512121572022226 PIX Maria 1.0
62 2023-03-03 Flocos PEQUENO 8.611301723499476 PIX Carlos 1.0
954 2025-08-11 Napolitano PEQUENO 8.664350651495962 Cartão Carlos 1.0
120 2023-04-30 Limao PEQUENO 8.690165067328923 Dinheiro Carlos 3.0
1018 2025-10-14 Morango PEQUENO 8.731347609706642 Cartão Maria 4.0
184 2023-07-03 Amendoim PEQUENO 8.763118735851911 Dinheiro Maria 2.0
479 2024-04-23 Limao PEQUENO 8.83773454060174 Cartão Maria 2.0
370 2024-01-05 Amendoim PEQUENO 8.841751456251385 PIX Maria 3.0
5 2023-01-05 Napolitano PEQUENO 8.982561500409782 Cartão Maria 4.0
279 2023-10-06 Coco PEQUENO 8.986709541775278 Cartão João 1.0
89 2023-03-30 Amendoim PEQUENO 9.012334294967639 Cartão João 5.0
326 2023-11-22 Amendoim PEQUENO 9.153694078720715 Dinheiro João 2.0
127 2023-05-07 Amendoim PEQUENO 9.174327806824659 PIX Carlos 1.0
88 2023-03-29 Limao PEQUENO 9.21773794613117 Cartão Maria 5.0
692 2024-11-22 Morango PEQUENO 9.301294827380648 PIX Carlos 4.0
194 2023-07-13 Coco PEQUENO 9.447246421192792 PIX João 3.0
196 2023-07-15 Limao PEQUENO 9.762760541241967 Cartão João 5.0
826 2025-04-05 Flocos PEQUENO 9.78475728414451 PIX Carlos 2.0
657 2024-10-18 Amendoim PEQUENO 9.875846243278843 Cartão Maria 5.0
746 2025-01-15 Menta PEQUENO 9.895219786498984 Cartão Maria 5.0
398 2024-02-02 Pistache PEQUENO 9.916898951514563 PIX Maria 3.0
128 2023-05-08 Coco MÉDIO 10.01417643689041 Cartão João 2.0
865 2025-05-14 Baunilha MÉDIO 10.08668513860793 PIX João 5.0
759 2025-01-28 Morango MÉDIO 10.107605865081055 Cartão João 3.0
516 2024-05-30 Limao MÉDIO 10.11384571388397 PIX João 4.0
544 2024-06-27 Uva MÉDIO 10.26993288288108 PIX Carlos 3.0
343 2023-12-09 Amendoim MÉDIO 10.304482897111313 PIX Carlos 3.0
339 2023-12-05 Coco MÉDIO 10.306647338004456 PIX Carlos 5.0
558 2024-07-11 Morango MÉDIO 10.329936366645914 Cartão Carlos 2.0
93 2023-04-03 Flocos MÉDIO 10.34216070744653 PIX Maria 1.0
642 2024-10-03 Limao MÉDIO 10.43487812870515 PIX Carlos 4.0
